housing_id,housing_name,park_id,park_name,park_type,straight_m,walk_m,walk_sec,status
762,DMC SK뷰 아이파크포레(수색13),1121,수색4구역 소공원,소공원,383,1158,1009,ok
753,DMC SK VIEW(수색9),1122,DMC소공원,소공원,266,550,446,ok
766,Lumino 816,1082,연신어린이공원,어린이공원,327,410,323,ok
699,불광SH-ville(불광1),1087,북한산,근린공원,390,726,563,ok
700,응암SH-ville(응암6),1115,놀뫼소공원,소공원,104,198,152,ok
743,백련산 SK VIEW 아이파크아파트(응암10구역),1085,매바위어린이공원,어린이공원,66,81,67,ok
764,THE STUDIO 163,1155,물빛공원,기타공원,224,289,240,ok
768,경희궁자이(돈의문1구역),1230,달바위공원,소공원,194,290,239,ok
767,무악현대(무악1),1234,의주공원,소공원,183,622,505,ok
772,종로구 충신동 연극인 두레주택 1호점,1221,흥인지문공원,근린공원,439,529,418,ok
771,종로구 충신동 연극인 두레주택 2호점,1221,흥인지문공원,근린공원,357,451,356,ok
823,청계로벤하임(숭인동 240-1),1249,동묘공원,역사공원,181,254,200,ok
775,제이타워오피스텔(창신동 255-1),1249,동묘공원,역사공원,283,404,357,ok
774,종로구 충신동 연극인 두레주택 3호점,1221,흥인지문공원,근린공원,410,512,406,ok
770,종로구 충신동 연극인 두레주택 4호점,1221,흥인지문공원,근린공원,405,458,361,ok
773,종로구 충신동 연극인 두레주택 5호점,1221,흥인지문공원,근린공원,395,466,367,ok
769,종로구 충신동 연극인 두레주택 6호점,1221,흥인지문공원,근린공원,318,432,342,ok
788,면목,1044,소담소공원,소공원,261,386,327,ok
811,상봉태솔,1019,봉  황,어린이공원,392,541,467,ok
794,신내데시앙,1017,능산공원,근린공원,250,385,320,ok
809,제이스타상봉,1020,상  봉,어린이공원,251,331,257,ok
792,청광플러스원,1023,중화리,어린이공원,169,285,224,ok
814,상봉동양엔파트,1019,봉  황,어린이공원,206,326,248,ok
793,묵동월드메르디앙,1028,소  망,어린이공원,274,431,324,ok
812,용마산모아엘가파크포레,1045,면목어울소공원,소공원,81,116,89,ok
795,묵동리본타워(묵동시프트),997,서  당,어린이공원,275,352,313,ok
817,세이지움 상봉,1020,상  봉,어린이공원,167,196,150,ok
800,신내 의료안심주택,1016,신내어울공원,근린공원,88,119,89,ok
805,한양수자인 사가정파크(면목1),1050,꿈마루,어린이공원,33,87,72,ok
815,가현 월디움 면목 1차,1004,양  지,어린이공원,264,428,363,ok
790,신내10,1032,꽃피울,어린이공원,123,164,136,ok
818,와이센트럴시티(상봉100),1019,봉  황,어린이공원,320,456,365,ok
813,월디움상봉(상봉동 102-3),1019,봉  황,어린이공원,268,395,328,ok
808,블리스다임빌(상봉동 104-33),1019,봉  황,어린이공원,261,362,306,ok
789,신내12,1033,신  현,어린이공원,308,465,397,ok
810,칼튼테라스(묵동 176-39외 3필지),1029,먹  골,어린이공원,80,115,89,ok
799,면목2코오롱하늘채,1042,빛길소공원,소공원,57,196,155,ok
806,사가정센트럴아이파크(면목3),1043,꽃가람소공원,소공원,136,168,212,ok
801,우디안3(행복주택),1018,구릉공원,근린공원,211,260,196,ok
798,신내3-1(신내우디안1단지),993,능말공원,근린공원,198,341,298,ok
796,신내3-2(신내데시앙포레),993,능말공원,근린공원,155,424,364,ok
803,우디안 4단지(신내3지구 4단지),1018,구릉공원,근린공원,229,517,381,ok
807,면목라온프라이빗(면목5),1043,꽃가람소공원,소공원,50,215,169,ok
804,신내 글로리움(신내동 640),998,은하수,어린이공원,221,339,312,ok
797,현대프레미어스엠코(상봉8),1035,등나무,어린이공원,444,646,558,ok
791,신내9,1017,능산공원,근린공원,175,475,389,ok
802,e편한세상화랑대,1041,마중소공원,소공원,98,119,99,ok
816,리버센SK뷰롯데캐슬(중화1),1025,배  꽃,어린이공원,166,172,131,ok
300,이문쌍용,1204,도란도란,소공원,508,665,591,ok
334,리스트안암,919,방아다리,어린이공원,580,755,629,ok
313,일성트루엘,896,안골,어린이공원,133,186,143,ok
308,답십리래미안,935,장이,소공원,339,406,338,ok
306,신이문어울림,1204,도란도란,소공원,330,639,486,ok
333,케이앤케이타워,917,동산,어린이공원,125,206,183,ok
312,청계한신휴플러스,940,간데메,근린공원,176,453,378,ok
325,동대문더퍼스트데시앙(장안동연립),935,장이,소공원,76,72,60,ok
338,힐스테이트 청량리 메트로블,941,푸르미르,기타(가로공원),400,508,386,ok
321,힐스테이트 청계(대농신안),703,용답휴식,근린공원,181,694,554,ok
